week_idx,week_start,n_components,variance_explained,original_features,reduction_pct
0,2017-08-17 04:00:00,36,0.9521978026755394,240,85.0
1,2017-08-24 04:00:00,44,0.9508021646164192,240,81.66666666666667
2,2017-08-31 04:00:00,32,0.9501513744518282,240,86.66666666666667
3,2017-09-07 10:00:00,39,0.9507211514824321,240,83.75
4,2017-09-14 10:00:00,29,0.9503504509448795,240,87.91666666666667
5,2017-09-21 10:00:00,34,0.9508064864331275,240,85.83333333333334
6,2017-09-28 10:00:00,37,0.9502331006376102,240,84.58333333333333
7,2017-10-05 10:00:00,21,0.9522408231407835,240,91.25
8,2017-10-12 10:00:00,44,0.9523632625725005,240,81.66666666666667
9,2017-10-19 10:00:00,36,0.9501134692321015,240,85.0
10,2017-10-26 10:00:00,28,0.9505719232377718,240,88.33333333333333
11,2017-11-02 10:00:00,38,0.9506888806122491,240,84.16666666666667
12,2017-11-09 10:00:00,25,0.9504206654371975,240,89.58333333333334
13,2017-11-16 10:00:00,39,0.9519114945338735,240,83.75
14,2017-11-23 10:00:00,19,0.9500825753273728,240,92.08333333333334
15,2017-11-30 10:00:00,29,0.9500947420837537,240,87.91666666666667
16,2017-12-07 10:00:00,31,0.9503221205126342,240,87.08333333333333
17,2017-12-14 10:00:00,29,0.9519153657303946,240,87.91666666666667
18,2017-12-21 10:00:00,28,0.9518615088754785,240,88.33333333333333
19,2017-12-28 10:00:00,29,0.952139531617077,240,87.91666666666667
20,2018-01-04 11:00:00,25,0.9510172034385995,240,89.58333333333334
21,2018-01-11 11:00:00,16,0.9511132793567132,240,93.33333333333333
22,2018-01-18 11:00:00,32,0.951436907804968,240,86.66666666666667
23,2018-01-25 11:00:00,31,0.9519576849225335,240,87.08333333333333
24,2018-02-01 11:00:00,18,0.9503935669967218,240,92.5
25,2018-02-09 20:00:00,32,0.950312355654547,240,86.66666666666667
26,2018-02-16 20:00:00,28,0.9509142999824042,240,88.33333333333333
27,2018-02-23 20:00:00,30,0.9518939187617907,240,87.5
28,2018-03-02 20:00:00,19,0.9511751050651209,240,92.08333333333334
29,2018-03-09 20:00:00,34,0.9525521479460295,240,85.83333333333334
30,2018-03-16 20:00:00,29,0.9517468360061694,240,87.91666666666667
31,2018-03-23 20:00:00,31,0.9517715661969444,240,87.08333333333333
32,2018-03-30 20:00:00,39,0.9505388589952246,240,83.75
33,2018-04-06 20:00:00,38,0.9520283197169631,240,84.16666666666667
34,2018-04-13 20:00:00,45,0.9515392099581335,240,81.25
35,2018-04-20 20:00:00,27,0.950741586424233,240,88.75
36,2018-04-27 20:00:00,34,0.9523956438790613,240,85.83333333333334
37,2018-05-04 20:00:00,31,0.9525667717849664,240,87.08333333333333
38,2018-05-11 20:00:00,37,0.9507202401565858,240,84.58333333333333
39,2018-05-18 20:00:00,21,0.9521241790655024,240,91.25
40,2018-05-25 20:00:00,37,0.9504395090803108,240,84.58333333333333
41,2018-06-01 20:00:00,42,0.9512733114169586,240,82.5
42,2018-06-08 20:00:00,30,0.9506014961370504,240,87.5
43,2018-06-15 20:00:00,33,0.950970905932432,240,86.25
44,2018-06-22 20:00:00,42,0.9515018324506022,240,82.5
45,2018-06-30 07:00:00,43,0.9516941662764253,240,82.08333333333333
46,2018-07-07 14:00:00,28,0.9513245864608286,240,88.33333333333333
47,2018-07-14 14:00:00,24,0.9522924782460027,240,90.0
48,2018-07-21 14:00:00,30,0.9505104096338413,240,87.5
49,2018-07-28 14:00:00,27,0.9511770074400747,240,88.75
50,2018-08-04 14:00:00,26,0.9518806380314992,240,89.16666666666666
51,2018-08-11 14:00:00,41,0.9512869684499639,240,82.91666666666666
52,2018-08-18 14:00:00,43,0.9504657978999634,240,82.08333333333333
53,2018-08-25 14:00:00,34,0.9506413719426551,240,85.83333333333334
54,2018-09-01 14:00:00,18,0.951840748145463,240,92.5
55,2018-09-08 14:00:00,39,0.9506184468870218,240,83.75
56,2018-09-15 14:00:00,36,0.9507711212923257,240,85.0
57,2018-09-22 14:00:00,35,0.9515116851985534,240,85.41666666666666
58,2018-09-29 14:00:00,40,0.9507443600036718,240,83.33333333333334
59,2018-10-06 14:00:00,29,0.9505921388753504,240,87.91666666666667
60,2018-10-13 14:00:00,24,0.9526204826223096,240,90.0
61,2018-10-20 17:00:00,45,0.9503464071542854,240,81.25
62,2018-10-27 17:00:00,36,0.9506165420161935,240,85.0
63,2018-11-03 17:00:00,37,0.9512714409890228,240,84.58333333333333
64,2018-11-10 17:00:00,16,0.9511917734194513,240,93.33333333333333
65,2018-11-18 00:00:00,23,0.9517903187635233,240,90.41666666666667
66,2018-11-25 00:00:00,35,0.9524599458479278,240,85.41666666666666
67,2018-12-02 00:00:00,29,0.9523707968720694,240,87.91666666666667
68,2018-12-09 00:00:00,32,0.9513111015366306,240,86.66666666666667
69,2018-12-16 00:00:00,27,0.9523294903115077,240,88.75
70,2018-12-23 00:00:00,35,0.95211254536574,240,85.41666666666666
71,2018-12-30 00:00:00,40,0.9512839918385555,240,83.33333333333334
72,2019-01-06 00:00:00,30,0.9509371691056886,240,87.5
73,2019-01-13 00:00:00,44,0.9505191732668665,240,81.66666666666667
74,2019-01-20 00:00:00,49,0.9507525135517823,240,79.58333333333334
75,2019-01-27 00:00:00,34,0.9515322324213115,240,85.83333333333334
76,2019-02-03 00:00:00,33,0.9506386702928314,240,86.25
77,2019-02-10 00:00:00,48,0.9504035271609403,240,80.0
78,2019-02-17 00:00:00,28,0.9517826966541841,240,88.33333333333333
79,2019-02-24 00:00:00,51,0.9507231845239864,240,78.75
80,2019-03-03 00:00:00,31,0.9512792388509019,240,87.08333333333333
81,2019-03-10 00:00:00,43,0.9517372014883786,240,82.08333333333333
82,2019-03-17 06:00:00,42,0.9507830162293505,240,82.5
83,2019-03-24 06:00:00,27,0.9526885744475526,240,88.75
84,2019-03-31 06:00:00,23,0.9530057370562233,240,90.41666666666667
85,2019-04-07 06:00:00,38,0.9504808693337985,240,84.16666666666667
86,2019-04-14 06:00:00,31,0.9504546144412057,240,87.08333333333333
87,2019-04-21 06:00:00,39,0.9522429395867389,240,83.75
88,2019-04-28 06:00:00,15,0.9520688669927784,240,93.75
89,2019-05-05 06:00:00,24,0.9505552169590312,240,90.0
90,2019-05-12 06:00:00,33,0.9500423293043173,240,86.25
91,2019-05-19 16:00:00,38,0.9515730363974544,240,84.16666666666667
92,2019-05-26 16:00:00,33,0.9524861538522019,240,86.25
93,2019-06-02 16:00:00,33,0.9523478942954314,240,86.25
94,2019-06-09 16:00:00,28,0.9506546721727714,240,88.33333333333333
95,2019-06-16 16:00:00,20,0.9514369519512744,240,91.66666666666666
96,2019-06-23 16:00:00,29,0.9520996256984425,240,87.91666666666667
97,2019-06-30 16:00:00,35,0.9519091197013209,240,85.41666666666666
98,2019-07-07 16:00:00,32,0.9514952295551987,240,86.66666666666667
99,2019-07-14 16:00:00,35,0.9505234238326273,240,85.41666666666666
100,2019-07-21 16:00:00,41,0.9510623171712694,240,82.91666666666666
101,2019-07-28 16:00:00,27,0.9514768795301634,240,88.75
102,2019-08-04 16:00:00,48,0.9523378426151871,240,80.0
103,2019-08-11 16:00:00,30,0.9513319324543991,240,87.5
104,2019-08-19 00:00:00,31,0.9504174162875312,240,87.08333333333333
105,2019-08-26 00:00:00,32,0.9527210177517564,240,86.66666666666667
106,2019-09-02 00:00:00,45,0.9516288663316472,240,81.25
107,2019-09-09 00:00:00,40,0.9513946663655648,240,83.33333333333334
108,2019-09-16 00:00:00,42,0.9517250404757834,240,82.5
109,2019-09-23 00:00:00,21,0.9513878352447999,240,91.25
110,2019-09-30 00:00:00,37,0.9508083196976125,240,84.58333333333333
111,2019-10-07 00:00:00,33,0.9500128728541358,240,86.25
112,2019-10-14 00:00:00,33,0.9510456595682992,240,86.25
113,2019-10-21 00:00:00,21,0.9525962247950784,240,91.25
114,2019-10-28 00:00:00,44,0.9519541047183773,240,81.66666666666667
115,2019-11-04 00:00:00,28,0.9513813016323421,240,88.33333333333333
116,2019-11-11 00:00:00,34,0.9510180034734351,240,85.83333333333334
117,2019-11-18 02:00:00,21,0.95160000934364,240,91.25
118,2019-11-25 04:00:00,29,0.9517720601368691,240,87.91666666666667
119,2019-12-02 04:00:00,38,0.9502898709065324,240,84.16666666666667
120,2019-12-09 04:00:00,38,0.9510957624393507,240,84.16666666666667
121,2019-12-16 04:00:00,24,0.9510247082614577,240,90.0
122,2019-12-23 04:00:00,39,0.9502618070624521,240,83.75
123,2019-12-30 04:00:00,34,0.9516909871845799,240,85.83333333333334
124,2020-01-06 04:00:00,34,0.9527656009941181,240,85.83333333333334
125,2020-01-13 04:00:00,34,0.9511680136132443,240,85.83333333333334
126,2020-01-20 04:00:00,30,0.9514344041330168,240,87.5
127,2020-01-27 04:00:00,37,0.9512615600509459,240,84.58333333333333
128,2020-02-03 04:00:00,26,0.9518720980107508,240,89.16666666666666
129,2020-02-10 05:00:00,33,0.951575684833655,240,86.25
130,2020-02-17 05:00:00,32,0.9521511484270268,240,86.66666666666667
131,2020-02-24 10:00:00,30,0.9512409655369856,240,87.5
132,2020-03-02 10:00:00,27,0.951658906329994,240,88.75
133,2020-03-09 11:00:00,15,0.9517883475335881,240,93.75
134,2020-03-16 11:00:00,28,0.9517614184462818,240,88.33333333333333
135,2020-03-23 11:00:00,33,0.9506621744351654,240,86.25
136,2020-03-30 11:00:00,26,0.9515363808380999,240,89.16666666666666
137,2020-04-06 11:00:00,29,0.9525560897204679,240,87.91666666666667
138,2020-04-13 11:00:00,30,0.9514676754731637,240,87.5
139,2020-04-20 11:00:00,29,0.95158488604274,240,87.91666666666667
140,2020-04-27 13:00:00,24,0.9513642043707465,240,90.0
141,2020-05-04 13:00:00,36,0.9507620833676872,240,85.0
142,2020-05-11 13:00:00,32,0.9518642393044526,240,86.66666666666667
143,2020-05-18 13:00:00,30,0.9502432172165767,240,87.5
144,2020-05-25 13:00:00,29,0.9521980834716232,240,87.91666666666667
145,2020-06-01 13:00:00,38,0.9513954800943291,240,84.16666666666667
146,2020-06-08 13:00:00,26,0.9523311086259031,240,89.16666666666666
147,2020-06-15 13:00:00,39,0.9524574038177182,240,83.75
148,2020-06-22 13:00:00,32,0.9509053735175645,240,86.66666666666667
149,2020-06-29 16:00:00,41,0.9505400154153363,240,82.91666666666666
150,2020-07-06 16:00:00,37,0.9506121972262807,240,84.58333333333333
151,2020-07-13 16:00:00,36,0.9508065566287028,240,85.0
152,2020-07-20 16:00:00,30,0.9523184938399726,240,87.5
153,2020-07-27 16:00:00,38,0.9520848720258399,240,84.16666666666667
154,2020-08-03 16:00:00,36,0.9513561514581985,240,85.0
155,2020-08-10 16:00:00,35,0.9511964442048318,240,85.41666666666666
156,2020-08-17 16:00:00,30,0.9505598822980401,240,87.5
157,2020-08-24 16:00:00,34,0.9503296434100592,240,85.83333333333334
158,2020-08-31 16:00:00,25,0.9523406867319746,240,89.58333333333334
159,2020-09-07 16:00:00,39,0.9524707604595659,240,83.75
160,2020-09-14 16:00:00,38,0.9502510704638196,240,84.16666666666667
161,2020-09-21 16:00:00,30,0.9528183795141444,240,87.5
162,2020-09-28 16:00:00,30,0.9512313638636917,240,87.5
163,2020-10-05 16:00:00,22,0.9514516342518876,240,90.83333333333333
164,2020-10-12 16:00:00,48,0.9526045038216812,240,80.0
165,2020-10-19 16:00:00,27,0.9517216225430397,240,88.75
166,2020-10-26 16:00:00,36,0.9520277200219991,240,85.0
167,2020-11-02 16:00:00,21,0.9509598994475955,240,91.25
168,2020-11-09 16:00:00,31,0.9502928996119947,240,87.08333333333333
169,2020-11-16 16:00:00,30,0.9510227038197863,240,87.5
170,2020-11-23 16:00:00,25,0.9520269584642513,240,89.58333333333334
171,2020-11-30 17:00:00,41,0.9508327105501487,240,82.91666666666666
172,2020-12-07 17:00:00,31,0.9500638068040826,240,87.08333333333333
173,2020-12-14 17:00:00,21,0.9519214300484766,240,91.25
174,2020-12-21 21:00:00,23,0.9505156998940572,240,90.41666666666667
175,2020-12-28 22:00:00,25,0.9516047253383688,240,89.58333333333334
176,2021-01-04 22:00:00,29,0.95180366973457,240,87.91666666666667
177,2021-01-11 22:00:00,30,0.9505691162631006,240,87.5
178,2021-01-18 22:00:00,26,0.9504370103075999,240,89.16666666666666
179,2021-01-25 22:00:00,25,0.9511209765157047,240,89.58333333333334
180,2021-02-01 22:00:00,30,0.9512444752970811,240,87.5
181,2021-02-08 22:00:00,40,0.9515314356263735,240,83.33333333333334
182,2021-02-15 23:00:00,29,0.9504763951812618,240,87.91666666666667
183,2021-02-22 23:00:00,32,0.9515002806812514,240,86.66666666666667
184,2021-03-01 23:00:00,32,0.9508810126374149,240,86.66666666666667
185,2021-03-09 00:00:00,33,0.9526282878245902,240,86.25
186,2021-03-16 00:00:00,37,0.9514314741886443,240,84.58333333333333
187,2021-03-23 00:00:00,33,0.9521035745675012,240,86.25
188,2021-03-30 00:00:00,44,0.950832394371209,240,81.66666666666667
189,2021-04-06 00:00:00,32,0.9511144908157967,240,86.66666666666667
190,2021-04-13 00:00:00,24,0.9528441818431257,240,90.0
191,2021-04-20 00:00:00,23,0.9519791531863946,240,90.41666666666667
192,2021-04-27 05:00:00,28,0.9508078707365591,240,88.33333333333333
193,2021-05-04 05:00:00,37,0.9524403726077147,240,84.58333333333333
194,2021-05-11 05:00:00,19,0.9533013236871958,240,92.08333333333334
195,2021-05-18 05:00:00,31,0.9500331610394083,240,87.08333333333333
196,2021-05-25 05:00:00,27,0.951300176950443,240,88.75
197,2021-06-01 05:00:00,33,0.9501090836396281,240,86.25
198,2021-06-08 05:00:00,34,0.9508510189616534,240,85.83333333333334
199,2021-06-15 05:00:00,24,0.9511673109466189,240,90.0
200,2021-06-22 05:00:00,35,0.9522865569804224,240,85.41666666666666
201,2021-06-29 05:00:00,32,0.9500261587592242,240,86.66666666666667
202,2021-07-06 05:00:00,35,0.9519017347749277,240,85.41666666666666
203,2021-07-13 05:00:00,38,0.9511659758238881,240,84.16666666666667
204,2021-07-20 05:00:00,24,0.952345914769089,240,90.0
205,2021-07-27 05:00:00,33,0.950286723612693,240,86.25
206,2021-08-03 05:00:00,27,0.9511877860902638,240,88.75
207,2021-08-10 05:00:00,36,0.9501951181075281,240,85.0
208,2021-08-17 09:00:00,27,0.9517374955773298,240,88.75
209,2021-08-24 09:00:00,37,0.9509913729636477,240,84.58333333333333
210,2021-08-31 09:00:00,32,0.9514944543350161,240,86.66666666666667
211,2021-09-07 09:00:00,40,0.951600394868787,240,83.33333333333334
212,2021-09-14 09:00:00,34,0.9510382904045612,240,85.83333333333334
213,2021-09-21 09:00:00,41,0.952240813361835,240,82.91666666666666
214,2021-09-28 09:00:00,28,0.9525241727348516,240,88.33333333333333
215,2021-10-05 11:00:00,33,0.9508751434110555,240,86.25
