week_idx,week_start,n_components,variance_explained,original_features,reduction_pct
216,2021-10-12 11:00:00,32,0.9513316765074378,240,86.66666666666667
217,2021-10-19 11:00:00,26,0.9517525848284644,240,89.16666666666666
218,2021-10-26 11:00:00,41,0.9509973903379869,240,82.91666666666666
219,2021-11-02 11:00:00,34,0.9509617512037384,240,85.83333333333334
220,2021-11-09 11:00:00,33,0.9509678595035208,240,86.25
221,2021-11-16 11:00:00,38,0.9518615881270706,240,84.16666666666667
222,2021-11-23 11:00:00,32,0.9506378248181918,240,86.66666666666667
223,2021-11-30 11:00:00,24,0.951228247183528,240,90.0
224,2021-12-07 11:00:00,42,0.9523555247366058,240,82.5
225,2021-12-14 11:00:00,37,0.9522094645796813,240,84.58333333333333
226,2021-12-21 11:00:00,27,0.9521504415954017,240,88.75
227,2021-12-28 11:00:00,45,0.9502637707083628,240,81.25
228,2022-01-04 11:00:00,32,0.951066332105799,240,86.66666666666667
229,2022-01-11 11:00:00,38,0.9510048888043463,240,84.16666666666667
230,2022-01-18 11:00:00,23,0.9522620110137178,240,90.41666666666667
231,2022-01-25 11:00:00,34,0.9502065567686109,240,85.83333333333334
232,2022-02-01 11:00:00,20,0.9521807924818175,240,91.66666666666666
233,2022-02-08 11:00:00,27,0.9513093119980948,240,88.75
234,2022-02-15 11:00:00,24,0.9521370082689394,240,90.0
235,2022-02-22 11:00:00,28,0.951114822194805,240,88.33333333333333
236,2022-03-01 11:00:00,26,0.9514528545906411,240,89.16666666666666
237,2022-03-08 11:00:00,36,0.9504355727788096,240,85.0
238,2022-03-15 11:00:00,33,0.9504768367124926,240,86.25
239,2022-03-22 11:00:00,26,0.9518284708545256,240,89.16666666666666
240,2022-03-29 11:00:00,36,0.9524388444534412,240,85.0
241,2022-04-05 11:00:00,23,0.951926134973515,240,90.41666666666667
242,2022-04-12 11:00:00,30,0.9511235100805585,240,87.5
243,2022-04-19 11:00:00,25,0.9522305052698102,240,89.58333333333334
244,2022-04-26 11:00:00,33,0.9512838960891713,240,86.25
245,2022-05-03 11:00:00,20,0.9509313711325805,240,91.66666666666666
246,2022-05-10 11:00:00,29,0.9520042570290254,240,87.91666666666667
247,2022-05-17 11:00:00,34,0.9506815244992401,240,85.83333333333334
248,2022-05-24 11:00:00,34,0.9517265259298774,240,85.83333333333334
249,2022-05-31 11:00:00,21,0.9505721337296611,240,91.25
250,2022-06-07 11:00:00,18,0.9500162537420297,240,92.5
251,2022-06-14 11:00:00,30,0.950401697842669,240,87.5
252,2022-06-21 11:00:00,37,0.9504976005013108,240,84.58333333333333
253,2022-06-28 11:00:00,36,0.9511989068857386,240,85.0
254,2022-07-05 11:00:00,29,0.9517993512861948,240,87.91666666666667
255,2022-07-12 11:00:00,28,0.9523516693439391,240,88.33333333333333
256,2022-07-19 11:00:00,34,0.9511368905437173,240,85.83333333333334
257,2022-07-26 11:00:00,30,0.952056804985353,240,87.5
258,2022-08-02 11:00:00,33,0.9506263765086811,240,86.25
259,2022-08-09 11:00:00,36,0.9509569684542029,240,85.0
260,2022-08-16 11:00:00,19,0.9516519448723944,240,92.08333333333334
261,2022-08-23 11:00:00,17,0.9503917559953118,240,92.91666666666667
262,2022-08-30 11:00:00,38,0.9506989132278498,240,84.16666666666667
263,2022-09-06 11:00:00,21,0.9513575051731697,240,91.25
264,2022-09-13 11:00:00,31,0.9521455840529881,240,87.08333333333333
265,2022-09-20 11:00:00,37,0.9506444804416093,240,84.58333333333333
266,2022-09-27 11:00:00,38,0.9511214016681291,240,84.16666666666667
267,2022-10-04 11:00:00,21,0.9507707700505011,240,91.25
268,2022-10-11 11:00:00,30,0.9506491107467495,240,87.5
269,2022-10-18 11:00:00,37,0.950400999976958,240,84.58333333333333
270,2022-10-25 11:00:00,40,0.9515952876865996,240,83.33333333333334
271,2022-11-01 11:00:00,23,0.9524517682044147,240,90.41666666666667
272,2022-11-08 11:00:00,29,0.9506104573941362,240,87.91666666666667
273,2022-11-15 11:00:00,31,0.9516076965959481,240,87.08333333333333
274,2022-11-22 11:00:00,42,0.95210984993657,240,82.5
275,2022-11-29 11:00:00,37,0.9512517992314665,240,84.58333333333333
276,2022-12-06 11:00:00,33,0.9521145632313978,240,86.25
277,2022-12-13 11:00:00,20,0.9505958798472877,240,91.66666666666666
278,2022-12-20 11:00:00,48,0.9507345492823787,240,80.0
279,2022-12-27 11:00:00,45,0.9508404930373493,240,81.25
280,2023-01-03 11:00:00,26,0.9513360906922319,240,89.16666666666666
281,2023-01-10 11:00:00,24,0.951287321539228,240,90.0
282,2023-01-17 11:00:00,24,0.9526666737776068,240,90.0
283,2023-01-24 11:00:00,36,0.9505695521054931,240,85.0
284,2023-01-31 11:00:00,29,0.9519780727263915,240,87.91666666666667
285,2023-02-07 11:00:00,21,0.9518911215283201,240,91.25
286,2023-02-14 11:00:00,30,0.9525521434873447,240,87.5
287,2023-02-21 11:00:00,25,0.9510535157938018,240,89.58333333333334
288,2023-02-28 11:00:00,32,0.9518605316618634,240,86.66666666666667
289,2023-03-07 11:00:00,23,0.9517110605296343,240,90.41666666666667
290,2023-03-14 11:00:00,21,0.9528235501701529,240,91.25
291,2023-03-21 11:00:00,36,0.9515188158196546,240,85.0
292,2023-03-28 12:00:00,41,0.9512346851646853,240,82.91666666666666
293,2023-04-04 12:00:00,28,0.9523984303294615,240,88.33333333333333
294,2023-04-11 12:00:00,35,0.9517251079447206,240,85.41666666666666
295,2023-04-18 12:00:00,26,0.9523116115278567,240,89.16666666666666
296,2023-04-25 12:00:00,37,0.9508870160669906,240,84.58333333333333
297,2023-05-02 12:00:00,34,0.9501733060608927,240,85.83333333333334
298,2023-05-09 12:00:00,34,0.9501637639726729,240,85.83333333333334
299,2023-05-16 12:00:00,39,0.9510214936798423,240,83.75
300,2023-05-23 12:00:00,27,0.95138717856846,240,88.75
301,2023-05-30 12:00:00,34,0.9517602224558899,240,85.83333333333334
302,2023-06-06 12:00:00,29,0.9511484026429844,240,87.91666666666667
303,2023-06-13 12:00:00,29,0.9517295663161911,240,87.91666666666667
304,2023-06-20 12:00:00,31,0.952101231461528,240,87.08333333333333
305,2023-06-27 12:00:00,44,0.9522789184552729,240,81.66666666666667
306,2023-07-04 12:00:00,33,0.9501249572163357,240,86.25
307,2023-07-11 12:00:00,24,0.9504146812548404,240,90.0
308,2023-07-18 12:00:00,41,0.9524576644064174,240,82.91666666666666
309,2023-07-25 12:00:00,48,0.9519027199177077,240,80.0
310,2023-08-01 12:00:00,38,0.9517213724944348,240,84.16666666666667
311,2023-08-08 12:00:00,37,0.9505641668473795,240,84.58333333333333
312,2023-08-15 12:00:00,16,0.9544313691055566,240,93.33333333333333
313,2023-08-22 12:00:00,38,0.950678415866749,240,84.16666666666667
314,2023-08-29 12:00:00,19,0.9523977931113504,240,92.08333333333334
315,2023-09-05 12:00:00,38,0.9502453145763324,240,84.16666666666667
316,2023-09-12 12:00:00,35,0.9521131948452283,240,85.41666666666666
317,2023-09-19 12:00:00,22,0.9500167456772611,240,90.83333333333333
318,2023-09-26 12:00:00,28,0.9504848673047558,240,88.33333333333333
319,2023-10-03 12:00:00,39,0.9518463936412983,240,83.75
320,2023-10-10 12:00:00,31,0.9516619258477201,240,87.08333333333333
321,2023-10-17 12:00:00,21,0.9524699653429934,240,91.25
322,2023-10-24 12:00:00,39,0.9506529043838146,240,83.75
323,2023-10-31 12:00:00,36,0.9519948319044519,240,85.0
324,2023-11-07 12:00:00,28,0.9510539026178653,240,88.33333333333333
325,2023-11-14 12:00:00,31,0.9508343780391487,240,87.08333333333333
326,2023-11-21 12:00:00,32,0.9513480616778867,240,86.66666666666667
327,2023-11-28 12:00:00,24,0.9502897591379958,240,90.0
328,2023-12-05 12:00:00,34,0.9518635878272214,240,85.83333333333334
329,2023-12-12 12:00:00,33,0.951681899223462,240,86.25
330,2023-12-19 12:00:00,42,0.9503230295893316,240,82.5
331,2023-12-26 12:00:00,31,0.9508907217382111,240,87.08333333333333
332,2024-01-02 12:00:00,31,0.952120619557665,240,87.08333333333333
333,2024-01-09 12:00:00,20,0.9519898025152799,240,91.66666666666666
334,2024-01-16 12:00:00,22,0.9501963665699572,240,90.83333333333333
335,2024-01-23 12:00:00,17,0.9512540942222846,240,92.91666666666667
336,2024-01-30 12:00:00,37,0.9517075252394668,240,84.58333333333333
337,2024-02-06 12:00:00,22,0.9521546173055265,240,90.83333333333333
338,2024-02-13 12:00:00,37,0.9510581524747537,240,84.58333333333333
339,2024-02-20 12:00:00,35,0.9510427805156255,240,85.41666666666666
340,2024-02-27 12:00:00,28,0.9521158314342517,240,88.33333333333333
341,2024-03-05 12:00:00,31,0.950366101485476,240,87.08333333333333
342,2024-03-12 12:00:00,27,0.9524409007908264,240,88.75
343,2024-03-19 12:00:00,25,0.9511887013067748,240,89.58333333333334
344,2024-03-26 12:00:00,36,0.9513427486915516,240,85.0
345,2024-04-02 12:00:00,25,0.9516736809717679,240,89.58333333333334
346,2024-04-09 12:00:00,26,0.9525328336058821,240,89.16666666666666
347,2024-04-16 12:00:00,29,0.951180711816289,240,87.91666666666667
348,2024-04-23 12:00:00,33,0.9521395694976083,240,86.25
349,2024-04-30 12:00:00,22,0.9516071111526088,240,90.83333333333333
350,2024-05-07 12:00:00,35,0.9523640801317178,240,85.41666666666666
351,2024-05-14 12:00:00,25,0.9522069730726664,240,89.58333333333334
352,2024-05-21 12:00:00,32,0.9511957815495502,240,86.66666666666667
353,2024-05-28 12:00:00,41,0.9516027358449184,240,82.91666666666666
354,2024-06-04 12:00:00,30,0.950439133923584,240,87.5
355,2024-06-11 12:00:00,34,0.9503511657881685,240,85.83333333333334
356,2024-06-18 12:00:00,24,0.9504387213023437,240,90.0
357,2024-06-25 12:00:00,32,0.9514893153979147,240,86.66666666666667
358,2024-07-02 12:00:00,27,0.951567467320106,240,88.75
359,2024-07-09 12:00:00,26,0.9500213040649301,240,89.16666666666666
360,2024-07-16 12:00:00,29,0.950825753533765,240,87.91666666666667
361,2024-07-23 12:00:00,29,0.9506515401047257,240,87.91666666666667
362,2024-07-30 12:00:00,21,0.9529035582514773,240,91.25
363,2024-08-06 12:00:00,27,0.9516575023669899,240,88.75
364,2024-08-13 12:00:00,29,0.9511010174149738,240,87.91666666666667
365,2024-08-20 12:00:00,26,0.9511011401490961,240,89.16666666666666
366,2024-08-27 12:00:00,37,0.9520006164122177,240,84.58333333333333
367,2024-09-03 12:00:00,27,0.9515490928513536,240,88.75
368,2024-09-10 12:00:00,24,0.9502600750259129,240,90.0
369,2024-09-17 12:00:00,32,0.9509026061743904,240,86.66666666666667
370,2024-09-24 12:00:00,27,0.9511390971700674,240,88.75
371,2024-10-01 12:00:00,30,0.9518092996923105,240,87.5
372,2024-10-08 12:00:00,26,0.9501752531491509,240,89.16666666666666
373,2024-10-15 12:00:00,32,0.9505911038662087,240,86.66666666666667
374,2024-10-22 12:00:00,37,0.9522963616524124,240,84.58333333333333
375,2024-10-29 12:00:00,25,0.9515283372860002,240,89.58333333333334
376,2024-11-05 12:00:00,18,0.9525893886095559,240,92.5
377,2024-11-12 12:00:00,33,0.9504018487085437,240,86.25
378,2024-11-19 12:00:00,27,0.9525326205592346,240,88.75
379,2024-11-26 12:00:00,34,0.9513767146364025,240,85.83333333333334
380,2024-12-03 12:00:00,38,0.9519557212009067,240,84.16666666666667
381,2024-12-10 12:00:00,28,0.9522950734153942,240,88.33333333333333
382,2024-12-17 12:00:00,21,0.9524099793657135,240,91.25
383,2024-12-24 12:00:00,28,0.9518909136986733,240,88.33333333333333
384,2024-12-31 12:00:00,20,0.9518444492769128,240,91.66666666666666
385,2025-01-07 12:00:00,39,0.9501355683143324,240,83.75
386,2025-01-14 12:00:00,27,0.9501771365936188,240,88.75
387,2025-01-21 12:00:00,31,0.950272557537049,240,87.08333333333333
388,2025-01-28 12:00:00,21,0.9523066044913947,240,91.25
389,2025-02-04 12:00:00,36,0.951887960954043,240,85.0
390,2025-02-11 12:00:00,39,0.9521163267575483,240,83.75
391,2025-02-18 12:00:00,23,0.9514040621193778,240,90.41666666666667
392,2025-02-25 12:00:00,25,0.9504303066856612,240,89.58333333333334
393,2025-03-04 12:00:00,28,0.9512563356888957,240,88.33333333333333
394,2025-03-11 12:00:00,34,0.9507338569266918,240,85.83333333333334
395,2025-03-18 12:00:00,24,0.9508904956202193,240,90.0
396,2025-03-25 12:00:00,20,0.9505867719798524,240,91.66666666666666
397,2025-04-01 12:00:00,32,0.9517801148367668,240,86.66666666666667
398,2025-04-08 12:00:00,27,0.952178853514388,240,88.75
399,2025-04-15 12:00:00,31,0.9500515819200166,240,87.08333333333333
400,2025-04-22 12:00:00,41,0.9502216949757886,240,82.91666666666666
401,2025-04-29 12:00:00,27,0.951610466731989,240,88.75
402,2025-05-06 12:00:00,30,0.9517216698420403,240,87.5
403,2025-05-13 12:00:00,38,0.9510172788817265,240,84.16666666666667
404,2025-05-20 12:00:00,34,0.9504873012256442,240,85.83333333333334
405,2025-05-27 12:00:00,26,0.9503081162657347,240,89.16666666666666
406,2025-06-03 12:00:00,26,0.9506849513723824,240,89.16666666666666
407,2025-06-10 12:00:00,29,0.9500529256636714,240,87.91666666666667
408,2025-06-17 12:00:00,30,0.9506253968504632,240,87.5
409,2025-06-24 12:00:00,44,0.9516707804267355,240,81.66666666666667
410,2025-07-01 12:00:00,37,0.9518012737310151,240,84.58333333333333
411,2025-07-08 12:00:00,25,0.9514667405433098,240,89.58333333333334
412,2025-07-15 12:00:00,41,0.9501774531911057,240,82.91666666666666
413,2025-07-22 12:00:00,24,0.9502818033362508,240,90.0
414,2025-07-29 12:00:00,19,0.9523251203557559,240,92.08333333333334
415,2025-08-05 12:00:00,28,0.95203673120728,240,88.33333333333333
416,2025-08-12 12:00:00,23,0.9522209632693278,240,90.41666666666667
417,2025-08-19 12:00:00,41,0.9508435786540769,240,82.91666666666666
418,2025-08-26 12:00:00,22,0.9506387276617719,240,90.83333333333333
419,2025-09-02 12:00:00,40,0.9519208281564484,240,83.33333333333334
420,2025-09-09 12:00:00,32,0.9513226271157396,240,86.66666666666667
421,2025-09-16 12:00:00,34,0.951079601226173,240,85.83333333333334
422,2025-09-23 12:00:00,26,0.9505549398167171,240,89.16666666666666
423,2025-09-30 12:00:00,24,0.9510736135732503,240,90.0
424,2025-10-07 12:00:00,27,0.9523525074046449,240,88.75
425,2025-10-14 12:00:00,22,0.95146619351525,240,90.83333333333333
426,2025-10-21 12:00:00,26,0.9515342837169929,240,89.16666666666666
427,2025-10-28 12:00:00,36,0.9512914265503384,240,85.0
428,2025-11-04 12:00:00,27,0.9515151119579885,240,88.75
429,2025-11-11 12:00:00,20,0.952136303363053,240,91.66666666666666
430,2025-11-18 12:00:00,24,0.9505924420922577,240,90.0
